trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.18, 'e': 0.9268162065593822}",25,0,-77.651170089066,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.18, 'e': 0.9231163463866358}",20,0,-101.911637809041,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.18, 'e': 0.9194312560951247}",30,0,-89.41019644563761,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.18, 'e': 0.9157608767233256}",30,0,-155.58022674332818,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
24,False,"{'a': 0.18, 'e': 0.9121051495450904}",20,0,-87.81505524671115,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.18, 'e': 0.9084640160687062}",20,0,-64.58570220704196,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.18, 'e': 0.9048374180359595}",25,0,-155.96355818667308,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
27,False,"{'a': 0.18, 'e': 0.9012252974212047}",25,7,-103.3750521446742,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
28,False,"{'a': 0.18, 'e': 0.8976275964304349}",25,0,-123.8180569772688,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.18, 'e': 0.8940442575003572}",30,0,-144.91783183150417,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
30,False,"{'a': 0.18, 'e': 0.8904752232974726}",30,1,-203.4913037188457,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 5}",1
31,False,"{'a': 0.18, 'e': 0.8869204367171575}",20,0,-78.65079105269699,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.18, 'e': 0.8833798408827509}",30,0,-76.86729439498907,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.18, 'e': 0.8798533791446438}",20,6,-117.36584018856571,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
34,False,"{'a': 0.18, 'e': 0.8763409950793732}",30,0,-77.50102597071235,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.18, 'e': 0.8728426324887193}",25,0,-200.85183503727234,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
36,False,"{'a': 0.18, 'e': 0.8693582353988059}",25,0,-122.23247283669374,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
37,False,"{'a': 0.18, 'e': 0.865887748059205}",20,0,-67.38282037719533,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
38,False,"{'a': 0.18, 'e': 0.8624311149420455}",20,0,-30.433016132786634,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.18, 'e': 0.8589882807411234}",20,6,-100.97447539162272,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
40,False,"{'a': 0.18, 'e': 0.8555591903710185}",20,0,-24.41213279612527,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.18, 'e': 0.8521437889662113}",25,0,-110.85608962440749,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
42,False,"{'a': 0.18, 'e': 0.8487420218802068}",20,0,-115.20264995729316,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.18, 'e': 0.8453538346846587}",20,7,-67.46723361748221,"{0: 7, 1: 4, 2: 0, 3: 1, 4: 1}",1
44,False,"{'a': 0.18, 'e': 0.8419791731684999}",25,0,-126.75852371279062,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
45,False,"{'a': 0.18, 'e': 0.838617983337074}",20,5,-69.11254132342047,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
